entry_idx,entry_time,entry_price,stop,target,exit_idx,exit_time,exit_price,pnl,exit_reason,confidence,pattern,trade_type,tenure
1052,2022-03-08,154.55133056640625,162.0136367749043,139.62671814941012,1053,2022-03-09,159.96018981933594,-5.4088592529296875,signal_exit,0.529378333818252,pin,SHORT,swing
1056,2022-03-14,147.85643005371094,155.89510780623118,131.77907454867045,1057,2022-03-15,152.24441528320312,-4.3879852294921875,signal_exit,0.5656721856566982,pin,SHORT,swing
1083,2022-04-21,163.36651611328125,169.3689712051928,151.36160592945816,1084,2022-04-22,158.82144165039062,4.545074462890625,signal_exit,0.6254911439466049,engulf,SHORT,swing
1087,2022-04-27,153.69728088378906,147.10794509842188,166.87595245452343,1088,2022-04-28,160.63755798339844,6.940277099609375,signal_exit,0.5920629867860613,pin,LONG,swing
1090,2022-05-02,155.06175231933594,147.3344010397479,170.51645487851204,1091,2022-05-03,156.5538787841797,1.49212646484375,signal_exit,0.5774200296562475,pin,LONG,swing
1098,2022-05-12,140.14991760253906,149.92492163913994,120.59990952933731,1099,2022-05-13,144.62298583984375,-4.4730682373046875,signal_exit,0.5032431139502564,pin,SHORT,swing
1104,2022-05-20,135.26394653320312,144.8824846170241,116.0268703655612,1105,2022-05-23,140.6906280517578,-5.4266815185546875,signal_exit,0.5462298136880251,pin,SHORT,swing
1131,2022-06-30,134.40866088867188,141.02663254198575,121.17271758204413,1132,2022-07-01,136.58126831054688,-2.172607421875,signal_exit,0.7065219843099539,pin,SHORT,swing
1142,2022-07-18,144.5836639404297,150.61283664969773,132.5253185218936,1143,2022-07-19,148.44725036621094,-3.86358642578125,signal_exit,1.0,engulf,SHORT,swing
1150,2022-07-28,154.6898956298828,149.15157136442264,165.76654416080316,1159,2022-08-10,165.76654416080316,11.076648530920352,target,0.918265692244465,pin,LONG,swing
1164,2022-08-17,171.8374786376953,166.7037857625685,182.10486438794896,1167,2022-08-22,166.7037857625685,-5.133692875126826,stop,1.0,engulf,LONG,swing
1171,2022-08-26,161.07733154296875,165.7352394915484,151.76151564580942,1172,2022-08-29,158.8721466064453,2.2051849365234375,signal_exit,0.85,engulf,SHORT,swing
1173,2022-08-30,156.44053649902344,161.27247845966517,146.77665257773998,1174,2022-08-31,154.7768096923828,1.663726806640625,signal_exit,0.85,engulf,SHORT,swing
1176,2022-09-02,153.38868713378906,158.64886799455047,142.86832541226624,1177,2022-09-06,152.12855529785156,1.2601318359375,signal_exit,0.7,engulf,SHORT,swing
1179,2022-09-08,152.05966186523438,157.60779825805673,140.96338907958966,1180,2022-09-09,154.92445373535156,-2.8647918701171875,signal_exit,0.4934793695811721,pin,SHORT,swing
1183,2022-09-14,152.89645385742188,146.0129710195302,166.66341953320523,1184,2022-09-15,150.0021514892578,-2.8943023681640625,signal_exit,0.7,pin,LONG,swing
1185,2022-09-16,148.3581085205078,155.01269955506683,135.04892645138978,1186,2022-09-19,152.0793914794922,-3.721282958984375,signal_exit,0.6127507706172107,pin,SHORT,swing
1191,2022-09-26,148.42703247070312,141.471829985002,162.3374374421054,1192,2022-09-27,149.40162658691406,0.9745941162109375,signal_exit,0.5905565572074615,pin,LONG,swing
1204,2022-10-13,140.76791381835938,133.40872104548407,155.48629936410998,1205,2022-10-14,136.2295684814453,-4.5383453369140625,signal_exit,0.7,engulf,LONG,swing
1216,2022-10-31,150.95706176757812,143.18862036550777,166.49394457171883,1218,2022-11-02,143.18862036550777,-7.768441402070351,stop,1.0,pin,LONG,swing
1220,2022-11-04,136.45555114746094,144.8361608369261,119.69433176853062,1221,2022-11-07,136.98802185058594,-0.532470703125,signal_exit,0.5337204157444242,engulf,SHORT,swing
1244,2022-12-09,140.18301391601562,146.22530188993943,128.098437968168,1245,2022-12-12,142.48056030273438,-2.29754638671875,signal_exit,0.5766596744365374,pin,SHORT,swing
1259,2023-01-03,123.33064270019533,130.0924196058793,109.80708888882741,1260,2023-01-04,124.60270690917967,-1.2720642089843466,signal_exit,0.7,engulf,SHORT,swing
1281,2023-02-03,152.35134887695312,146.29533582481676,164.46337498122585,1293,2023-02-22,146.29533582481676,-6.056013052136365,stop,1.0,engulf,LONG,position
1301,2023-03-06,151.92225646972656,147.10242360035346,161.56192220847277,1305,2023-03-10,147.10242360035346,-4.819832869373101,stop,0.7978879444665349,pin,LONG,swing
1306,2023-03-13,148.6039581298828,143.5449888413657,158.72189670691705,1313,2023-03-22,158.72189670691705,10.117938577034238,target,0.7611103211373423,engulf,LONG,swing
1314,2023-03-23,156.9590301513672,151.48209186642228,167.912906721257,1340,2023-05-01,167.912906721257,10.953876569889815,target,0.8708013799901448,pin,LONG,position
1352,2023-05-17,170.78428649902344,166.65521164111075,179.0424362148488,1363,2023-06-02,179.0424362148488,8.258149715825368,target,0.85,engulf,LONG,position
1364,2023-06-05,177.5982666015625,181.65125480116953,169.49229020234844,1365,2023-06-06,177.2323455810547,0.3659210205078125,signal_exit,1.0,engulf,SHORT,swing
1366,2023-06-07,175.8577117919922,180.19997337065345,167.17318863466966,1367,2023-06-08,178.5773468017578,-2.719635009765625,signal_exit,0.8848333889030525,pin,SHORT,swing
1389,2023-07-12,187.67581176757807,183.44056790466956,196.14629949339508,1406,2023-08-04,183.44056790466956,-4.235243862908504,stop,0.6890086970488657,pin,LONG,position
1408,2023-08-08,177.81585693359375,172.64498479351258,188.1576012137561,1409,2023-08-09,176.22360229492188,-1.592254638671875,signal_exit,0.7,pin,LONG,swing
1415,2023-08-17,172.31222534179688,177.19567460656907,162.54532681225248,1416,2023-08-18,172.79747009277344,-0.4852447509765625,signal_exit,0.7,engulf,SHORT,swing
1425,2023-08-31,186.0476531982422,181.39819252167663,195.3465745513733,1428,2023-09-06,181.39819252167663,-4.649460676565553,stop,0.9048781622456468,pin,LONG,swing
1430,2023-09-08,176.45164489746094,182.2342977827175,164.8863391269478,1431,2023-09-11,177.62020874023438,-1.1685638427734375,signal_exit,0.7585697914850144,pin,SHORT,swing
1457,2023-10-17,175.43165588378906,170.64531988218866,185.00432788698987,1460,2023-10-20,171.20306396484375,-4.2285919189453125,signal_exit,0.8044191535997288,pin,LONG,swing
1465,2023-10-27,166.58827209472656,171.09449396279828,157.57582835858312,1466,2023-10-30,168.63816833496094,-2.049896240234375,signal_exit,0.7,inside,SHORT,swing
1477,2023-11-14,185.8663787841797,190.82173307097167,175.9556702105957,1478,2023-11-15,186.43161010742188,-0.5652313232421875,signal_exit,0.8519339065924822,pin,SHORT,swing
1495,2023-12-11,191.5581970214844,187.53581514563822,199.60296077317676,1509,2024-01-02,187.53581514563822,-4.022381875846179,stop,0.7765693645879336,pin,LONG,position
1510,2024-01-03,182.7031707763672,178.45344288007212,191.20262656895733,1511,2024-01-04,180.38282775878903,-2.3203430175781534,signal_exit,0.5661219202311859,pin,LONG,swing
1524,2024-01-24,192.86712646484372,197.8074472167041,182.98648496112295,1525,2024-01-25,192.53988647460935,0.327239990234375,signal_exit,1.0,engulf,SHORT,swing
1532,2024-02-05,186.1043701171875,191.66089784573361,174.99131466009527,1533,2024-02-06,187.71080017089844,-1.6064300537109375,signal_exit,0.5158351157608346,pin,SHORT,swing
1540,2024-02-15,182.5490875244141,177.59945318165717,192.44835620992794,1541,2024-02-16,181.0101318359375,-1.538955688476591,signal_exit,0.58025444278682,pin,LONG,swing
1547,2024-02-27,181.32785034179688,177.25310103264673,189.47734896009717,1548,2024-02-28,180.12648010253906,-1.2013702392578125,signal_exit,0.583332600260781,engulf,LONG,swing
1550,2024-03-01,178.37904357910156,174.00793274004002,187.12126525722465,1551,2024-03-04,174.00793274004002,-4.371110839061544,stop,0.5755558569643193,pin,LONG,swing
1553,2024-03-06,167.91416931152344,172.8299437019482,158.08262053067392,1554,2024-03-07,167.7950439453125,0.1191253662109375,signal_exit,0.7,engulf,SHORT,swing
1559,2024-03-14,171.76649475097656,166.54329502450972,182.21289420391025,1560,2024-03-15,171.3892364501953,-0.37725830078125,signal_exit,0.5318585385285387,pin,LONG,swing
1590,2024-04-29,172.26296997070312,166.86211551129733,183.0646788895147,1591,2024-04-30,169.1155548095703,-3.1474151611328125,signal_exit,0.795393188209561,pin,LONG,swing
1593,2024-05-02,171.7963104248047,166.57416789378635,182.24059548684136,1594,2024-05-03,182.24059548684136,10.44428506203667,target,0.8561258338057732,pin,LONG,swing
1595,2024-05-06,180.41441345214844,186.5014159657464,168.24040842495253,1596,2024-05-07,181.09950256347656,-0.685089111328125,signal_exit,0.7957662901754348,pin,SHORT,swing
1619,2024-06-10,192.00311279296875,196.42169836139428,183.1659416561177,1620,2024-06-11,196.42169836139428,-4.418585568425527,stop,0.7874990133629066,engulf,SHORT,swing
1622,2024-06-13,213.00100708007807,206.0514277494824,226.9001657412694,1627,2024-06-21,206.0514277494824,-6.949579330595668,stop,1.0,pin,LONG,swing
1655,2024-08-01,217.0971527099609,225.32927650675714,200.63290511636845,1656,2024-08-02,218.5885009765625,-1.491348266601591,signal_exit,0.7,engulf,SHORT,swing
1658,2024-08-06,206.03152465820312,216.5922403821051,184.91009321039917,1659,2024-08-07,208.60655212402344,-2.5750274658203125,signal_exit,0.7,inside,SHORT,swing
1675,2024-08-29,228.7255096435547,234.3095275106588,217.55747390934647,1676,2024-08-30,227.93917846679688,0.7863311767578125,signal_exit,0.8792075991917392,pin,SHORT,swing
1680,2024-09-06,219.79705810546875,226.20545565221892,206.98026301196842,1681,2024-09-09,219.8866424560547,-0.0895843505859375,signal_exit,0.85,engulf,SHORT,swing
1683,2024-09-11,221.6285400390625,214.4896157606452,235.9063885958971,1684,2024-09-12,221.738037109375,0.1094970703125,signal_exit,0.5746161091825722,pin,LONG,swing
1686,2024-09-16,215.31790161132807,222.74690331036453,200.45989821325514,1687,2024-09-17,215.78570556640625,-0.46780395507818184,signal_exit,0.5909099316129397,pin,SHORT,swing
1707,2024-10-15,232.7666931152344,226.26339755990995,245.77328422588332,1719,2024-10-31,226.26339755990995,-6.503295555324456,stop,0.8843743760151386,pin,LONG,position
1723,2024-11-06,221.6882476806641,215.80348876405208,233.45776551388812,1724,2024-11-07,226.42620849609372,4.737960815429631,signal_exit,0.5745903894739433,pin,LONG,swing
1728,2024-11-13,224.32366943359372,218.63245084048359,235.706106619814,1729,2024-11-14,227.4127197265625,3.0890502929687784,signal_exit,0.7,engulf,LONG,swing
1742,2024-12-04,242.150390625,236.86664642392597,252.71787902714806,1751,2024-12-17,252.71787902714806,10.567488402148058,target,0.8265726953097904,pin,LONG,swing
1767,2025-01-13,233.5708465576172,225.96072639845605,248.79108687593947,1768,2025-01-14,232.45480346679688,-1.1160430908203125,signal_exit,0.6078787804058512,pin,LONG,swing
1771,2025-01-17,229.16647338867188,237.4620165302854,212.5753871054448,1772,2025-01-21,221.85243225097656,7.3140411376953125,signal_exit,0.7,inside,SHORT,swing
1773,2025-01-22,223.0382232666016,231.7747041421189,205.56526151556696,1774,2025-01-23,222.8688507080078,0.16937255859377842,signal_exit,0.7,inside,SHORT,swing
1775,2025-01-24,221.991943359375,230.35475061404213,205.26632885004074,1776,2025-01-27,230.35475061404213,-8.362807254667132,stop,0.6703697168967071,engulf,SHORT,swing
1780,2025-01-31,235.16519165039065,245.54583757176394,214.40389980764408,1781,2025-02-03,227.2034454345703,7.961746215820341,signal_exit,0.85,engulf,SHORT,swing
1794,2025-02-21,244.95042419433597,252.65822172918664,229.53482912463463,1795,2025-02-24,246.49664306640625,-1.546218872070284,signal_exit,0.9158506661976185,pin,SHORT,swing
1799,2025-02-28,241.24948120117188,233.1842200955778,257.38000341236,1802,2025-03-05,233.1842200955778,-8.065261105594061,stop,1.0,engulf,LONG,swing
1803,2025-03-06,234.75538635253903,226.55011162678457,251.16593580404796,1804,2025-03-07,238.4862518310547,3.7308654785156534,signal_exit,0.5153191848554826,pin,LONG,swing
1809,2025-03-14,212.96871948242188,224.39218583562018,190.12178677602526,1810,2025-03-17,213.4774627685547,-0.5087432861328125,signal_exit,0.7,inside,SHORT,swing
1812,2025-03-19,214.7144317626953,203.65650216263506,236.8302909628158,1813,2025-03-20,213.5772247314453,-1.13720703125,signal_exit,0.581037355140331,pin,LONG,swing
